Zeitstempel,Ferientyp,Ferien_bool
2019-12-23,Wiehnachtsferien,1
2019-12-24,Wiehnachtsferien,1
2019-12-25,Wiehnachtsferien,1
2019-12-26,Wiehnachtsferien,1
2019-12-27,Wiehnachtsferien,1
2019-12-28,Wiehnachtsferien,1
2019-12-29,Wiehnachtsferien,1
2019-12-30,Wiehnachtsferien,1
2019-12-31,Wiehnachtsferien,1
2020-01-01,Wiehnachtsferien,1
2020-01-02,Wiehnachtsferien,1
2020-01-03,Wiehnachtsferien,1
2020-01-04,Wiehnachtsferien,1
2020-01-05,Wiehnachtsferien,1
2020-04-04,Frühlingsferien,1
2020-04-05,Frühlingsferien,1
2020-04-06,Frühlingsferien,1
2020-04-07,Frühlingsferien,1
2020-04-08,Frühlingsferien,1
2020-04-09,Frühlingsferien,1
2020-04-10,Frühlingsferien,1
2020-04-11,Frühlingsferien,1
2020-04-12,Frühlingsferien,1
2020-04-13,Frühlingsferien,1
2020-04-14,Frühlingsferien,1
2020-04-15,Frühlingsferien,1
2020-04-16,Frühlingsferien,1
2020-04-17,Frühlingsferien,1
2020-04-18,Frühlingsferien,1
2020-04-19,Frühlingsferien,1
2020-07-04,Sommerferien,1
2020-07-05,Sommerferien,1
2020-07-06,Sommerferien,1
2020-07-07,Sommerferien,1
2020-07-08,Sommerferien,1
2020-07-09,Sommerferien,1
2020-07-10,Sommerferien,1
2020-07-11,Sommerferien,1
2020-07-12,Sommerferien,1
2020-07-13,Sommerferien,1
2020-07-14,Sommerferien,1
2020-07-15,Sommerferien,1
2020-07-16,Sommerferien,1
2020-07-17,Sommerferien,1
2020-07-18,Sommerferien,1
2020-07-19,Sommerferien,1
2020-07-20,Sommerferien,1
2020-07-21,Sommerferien,1
2020-07-22,Sommerferien,1
2020-07-23,Sommerferien,1
2020-07-24,Sommerferien,1
2020-07-25,Sommerferien,1
2020-07-26,Sommerferien,1
2020-07-27,Sommerferien,1
2020-07-28,Sommerferien,1
2020-07-29,Sommerferien,1
2020-07-30,Sommerferien,1
2020-07-31,Sommerferien,1
2020-08-01,Sommerferien,1
2020-08-02,Sommerferien,1
2020-08-03,Sommerferien,1
2020-08-04,Sommerferien,1
2020-08-05,Sommerferien,1
2020-08-06,Sommerferien,1
2020-08-07,Sommerferien,1
2020-08-08,Sommerferien,1
2020-08-09,Sommerferien,1
2020-09-26,Herbstferien,1
2020-09-27,Herbstferien,1
2020-09-28,Herbstferien,1
2020-09-29,Herbstferien,1
2020-09-30,Herbstferien,1
2020-10-01,Herbstferien,1
2020-10-02,Herbstferien,1
2020-10-03,Herbstferien,1
2020-10-04,Herbstferien,1
2020-10-05,Herbstferien,1
2020-10-06,Herbstferien,1
2020-10-07,Herbstferien,1
2020-10-08,Herbstferien,1
2020-10-09,Herbstferien,1
2020-10-10,Herbstferien,1
2020-10-11,Herbstferien,1
2020-10-12,Herbstferien,1
2020-10-13,Herbstferien,1
2020-10-14,Herbstferien,1
2020-10-15,Herbstferien,1
2020-10-16,Herbstferien,1
2020-10-17,Herbstferien,1
2020-10-18,Herbstferien,1
2020-12-19,Wiehnachtsferien,1
2020-12-20,Wiehnachtsferien,1
2020-12-21,Wiehnachtsferien,1
2020-12-22,Wiehnachtsferien,1
2020-12-23,Wiehnachtsferien,1
2020-12-24,Wiehnachtsferien,1
2020-12-25,Wiehnachtsferien,1
2020-12-26,Wiehnachtsferien,1
2020-12-27,Wiehnachtsferien,1
2020-12-28,Wiehnachtsferien,1
2020-12-29,Wiehnachtsferien,1
2020-12-30,Wiehnachtsferien,1
2020-12-31,Wiehnachtsferien,1
2021-01-01,Wiehnachtsferien,1
2021-01-02,Wiehnachtsferien,1
2021-01-03,Wiehnachtsferien,1
2021-04-10,Frühlingsferien,1
2021-04-11,Frühlingsferien,1
2021-04-12,Frühlingsferien,1
2021-04-13,Frühlingsferien,1
2021-04-14,Frühlingsferien,1
2021-04-15,Frühlingsferien,1
2021-04-16,Frühlingsferien,1
2021-04-17,Frühlingsferien,1
2021-04-18,Frühlingsferien,1
2021-04-19,Frühlingsferien,1
2021-04-20,Frühlingsferien,1
2021-04-21,Frühlingsferien,1
2021-04-22,Frühlingsferien,1
2021-04-23,Frühlingsferien,1
2021-04-24,Frühlingsferien,1
2021-04-25,Frühlingsferien,1
2021-07-10,Sommerferien,1
2021-07-11,Sommerferien,1
2021-07-12,Sommerferien,1
2021-07-13,Sommerferien,1
2021-07-14,Sommerferien,1
2021-07-15,Sommerferien,1
2021-07-16,Sommerferien,1
2021-07-17,Sommerferien,1
2021-07-18,Sommerferien,1
2021-07-19,Sommerferien,1
2021-07-20,Sommerferien,1
2021-07-21,Sommerferien,1
2021-07-22,Sommerferien,1
2021-07-23,Sommerferien,1
2021-07-24,Sommerferien,1
2021-07-25,Sommerferien,1
2021-07-26,Sommerferien,1
2021-07-27,Sommerferien,1
2021-07-28,Sommerferien,1
2021-07-29,Sommerferien,1
2021-07-30,Sommerferien,1
2021-07-31,Sommerferien,1
2021-08-01,Sommerferien,1
2021-08-02,Sommerferien,1
2021-08-03,Sommerferien,1
2021-08-04,Sommerferien,1
2021-08-05,Sommerferien,1
2021-08-06,Sommerferien,1
2021-08-07,Sommerferien,1
2021-08-08,Sommerferien,1
2021-08-09,Sommerferien,1
2021-08-10,Sommerferien,1
2021-08-11,Sommerferien,1
2021-08-12,Sommerferien,1
2021-08-13,Sommerferien,1
2021-08-14,Sommerferien,1
2021-08-15,Sommerferien,1
2021-10-02,Herbstferien,1
2021-10-03,Herbstferien,1
2021-10-04,Herbstferien,1
2021-10-05,Herbstferien,1
2021-10-06,Herbstferien,1
2021-10-07,Herbstferien,1
2021-10-08,Herbstferien,1
2021-10-09,Herbstferien,1
2021-10-10,Herbstferien,1
2021-10-11,Herbstferien,1
2021-10-12,Herbstferien,1
