Zeitstempel,Covid restrictions,Flu season
14.11.18,0,1
15.11.18,0,1
16.11.18,0,1
17.11.18,0,1
18.11.18,0,1
19.11.18,0,1
20.11.18,0,1
21.11.18,0,1
22.11.18,0,1
23.11.18,0,1
24.11.18,0,1
25.11.18,0,1
26.11.18,0,1
27.11.18,0,1
28.11.18,0,1
29.11.18,0,1
30.11.18,0,1
01.12.18,0,1
02.12.18,0,1
03.12.18,0,1
04.12.18,0,1
05.12.18,0,1
06.12.18,0,1
07.12.18,0,1
08.12.18,0,1
09.12.18,0,1
10.12.18,0,1
11.12.18,0,1
12.12.18,0,1
13.12.18,0,1
14.12.18,0,1
15.12.18,0,1
16.12.18,0,1
17.12.18,0,1
18.12.18,0,1
19.12.18,0,1
20.12.18,0,1
21.12.18,0,1
22.12.18,0,1
23.12.18,0,1
24.12.18,0,1
25.12.18,0,1
26.12.18,0,1
27.12.18,0,1
28.12.18,0,1
29.12.18,0,1
30.12.18,0,1
31.12.18,0,1
01.01.19,0,1
02.01.19,0,1
03.01.19,0,1
04.01.19,0,1
05.01.19,0,1
06.01.19,0,1
07.01.19,0,1
08.01.19,0,1
09.01.19,0,1
10.01.19,0,1
11.01.19,0,1
12.01.19,0,1
13.01.19,0,1
14.01.19,0,1
15.01.19,0,1
16.01.19,0,1
17.01.19,0,1
18.01.19,0,1
19.01.19,0,1
20.01.19,0,1
21.01.19,0,1
22.01.19,0,1
23.01.19,0,1
24.01.19,0,1
25.01.19,0,1
26.01.19,0,1
27.01.19,0,1
28.01.19,0,1
29.01.19,0,1
30.01.19,0,1
31.01.19,0,1
01.02.19,0,1
02.02.19,0,1
03.02.19,0,1
04.02.19,0,1
05.02.19,0,1
06.02.19,0,1
07.02.19,0,1
08.02.19,0,1
09.02.19,0,1
10.02.19,0,1
11.02.19,0,1
12.02.19,0,1
13.02.19,0,1
14.02.19,0,1
15.02.19,0,1
16.02.19,0,1
17.02.19,0,1
18.02.19,0,1
19.02.19,0,1
20.02.19,0,1
21.02.19,0,1
22.02.19,0,1
23.02.19,0,1
24.02.19,0,1
25.02.19,0,1
26.02.19,0,1
27.02.19,0,1
28.02.19,0,1
01.03.19,0,1
02.03.19,0,1
03.03.19,0,1
04.03.19,0,1
05.03.19,0,1
06.03.19,0,1
07.03.19,0,1
08.03.19,0,1
09.03.19,0,1
10.03.19,0,1
11.03.19,0,1
12.03.19,0,1
13.03.19,0,1
14.03.19,0,1
15.03.19,0,1
16.03.19,0,1
17.03.19,0,1
18.03.19,0,1
19.03.19,0,1
20.03.19,0,1
21.03.19,0,1
22.03.19,0,1
23.03.19,0,1
24.03.19,0,1
25.03.19,0,1
26.03.19,0,1
27.03.19,0,1
28.03.19,0,1
29.03.19,0,1
30.03.19,0,1
31.03.19,0,1
01.04.19,0,1
02.04.19,0,1
03.04.19,0,1
04.04.19,0,1
05.04.19,0,1
06.04.19,0,1
07.04.19,0,1
08.04.19,0,1
09.04.19,0,1
10.04.19,0,1
11.04.19,0,1
12.04.19,0,1
13.04.19,0,1
14.04.19,0,1
15.04.19,0,1
16.04.19,0,1
17.04.19,0,1
18.04.19,0,1
19.04.19,0,1
20.04.19,0,1
21.04.19,0,1
22.04.19,0,1
23.04.19,0,1
24.04.19,0,1
25.04.19,0,1
26.04.19,0,1
27.04.19,0,1
28.04.19,0,1
29.04.19,0,1
30.04.19,0,1
01.05.19,0,1
02.05.19,0,1
03.05.19,0,1
04.05.19,0,1
05.05.19,0,1
06.05.19,0,1
07.05.19,0,1
08.05.19,0,1
09.05.19,0,1
10.05.19,0,1
11.05.19,0,1
12.05.19,0,1
13.05.19,0,1
14.05.19,0,1
15.05.19,0,1
16.05.19,0,1
17.05.19,0,1
18.05.19,0,1
19.05.19,0,1
20.05.19,0,1
21.05.19,0,1
22.05.19,0,1
23.05.19,0,1
24.05.19,0,1
25.05.19,0,1
26.05.19,0,1
27.05.19,0,1
28.05.19,0,1
29.05.19,0,1
30.05.19,0,1
31.05.19,0,1
01.06.19,0,0
02.06.19,0,0
03.06.19,0,0
04.06.19,0,0
05.06.19,0,0
06.06.19,0,0
07.06.19,0,0
08.06.19,0,0
09.06.19,0,0
10.06.19,0,0
11.06.19,0,0
12.06.19,0,0
13.06.19,0,0
14.06.19,0,0
15.06.19,0,0
16.06.19,0,0
17.06.19,0,0
18.06.19,0,0
19.06.19,0,0
20.06.19,0,0
21.06.19,0,0
22.06.19,0,0
23.06.19,0,0
24.06.19,0,0
25.06.19,0,0
26.06.19,0,0
27.06.19,0,0
28.06.19,0,0
29.06.19,0,0
30.06.19,0,0
01.07.19,0,0
02.07.19,0,0
03.07.19,0,0
04.07.19,0,0
05.07.19,0,0
06.07.19,0,0
07.07.19,0,0
08.07.19,0,0
09.07.19,0,0
10.07.19,0,0
11.07.19,0,0
12.07.19,0,0
13.07.19,0,0
14.07.19,0,0
15.07.19,0,0
16.07.19,0,0
17.07.19,0,0
18.07.19,0,0
19.07.19,0,0
20.07.19,0,0
21.07.19,0,0
22.07.19,0,0
23.07.19,0,0
24.07.19,0,0
